4	-0.176423	-0.0669065	3.11739e-07
6	-0.180627	-0.0545202	3.41543e-07
7	-0.168069	-0.0572772	6.6817e-07
12	-0.172094	-0.0775099	2.82822e-07
13	-0.160554	-0.0992963	2.21006e-07
14	-0.166309	-0.0892415	2.51113e-07
15	-0.163741	-0.0678807	6.18874e-07
16	-0.183828	-0.0432178	3.61444e-07
17	-0.17127	-0.0459749	7.3247e-07
18	-0.156917	-0.0583302	9.64665e-07
19	-0.160309	-0.0491971	1.03158e-06
20	-0.18638	-0.0303887	3.87363e-07
22	-0.187803	-0.0188671	4.12563e-07
26	-0.153287	-0.110172	1.87653e-07
27	-0.159412	-0.0784841	5.46423e-07
28	-0.147903	-0.0985937	4.1856e-07
29	-0.153657	-0.0885389	4.92022e-07
30	-0.152589	-0.0689337	8.69821e-07
31	-0.145765	-0.0593832	1.24636e-06
32	-0.17447	-0.0346725	7.66005e-07
33	-0.163509	-0.0378948	1.11222e-06
34	-0.149157	-0.0502501	1.36025e-06
35	-0.152549	-0.041117	1.44459e-06
36	-0.175893	-0.0231509	8.33201e-07
37	-0.188658	-0.00581462	4.3505e-07
38	-0.177316	-0.0116292	8.67566e-07
43	-0.146276	-0.119436	1.55958e-07
44	-0.137652	-0.12927	1.21772e-07
45	-0.129457	-0.137367	9.16341e-08
46	-0.140892	-0.107857	3.58074e-07
47	-0.148118	-0.0787089	7.71129e-07
48	-0.136662	-0.0969339	5.85808e-07
49	-0.142363	-0.0887637	6.70096e-07
50	-0.141294	-0.0691584	1.12077e-06
51	-0.137101	-0.0610427	1.4288e-06
52	-0.137971	-0.0517518	1.66563e-06
53	-0.165448	-0.0273386	1.19212e-06
54	-0.154487	-0.0305609	1.57533e-06
55	-0.141363	-0.0426187	1.80536e-06
56	-0.146559	-0.0343595	1.81334e-06
57	-0.166871	-0.015817	1.27014e-06
58	-0.188574	0.00591436	4.56777e-07
59	-0.177232	9.97354e-05	9.29551e-07
60	-0.167586	-0.00564394	1.32819e-06
61	-0.187718	0.0189673	4.74548e-07
63	-0.185978	0.0304714	4.98462e-07
67	-0.119623	-0.145991	5.67132e-08
68	-0.133881	-0.117121	2.84392e-07
69	-0.125686	-0.125217	2.23135e-07
70	-0.117491	-0.133313	1.52952e-07
71	-0.129651	-0.106197	4.79456e-07
72	-0.125421	-0.095274	7.24466e-07
73	-0.136823	-0.0789337	9.7115e-07
74	-0.131122	-0.0871039	8.574e-07
75	-0.13263	-0.0708179	1.25504e-06
76	-0.129307	-0.0534112	1.8679e-06
77	-0.128437	-0.0627021	1.58443e-06
78	-0.130177	-0.0441203	2.15147e-06
79	-0.156425	-0.0200047	1.66877e-06
80	-0.148498	-0.0238033	1.95449e-06
81	-0.135373	-0.0358611	2.22027e-06
82	-0.14057	-0.0276019	2.22366e-06
83	-0.15714	-0.00983168	1.77274e-06
84	-0.177148	0.0118287	9.53794e-07
85	-0.167502	0.00608504	1.3943e-06
86	-0.157855	0.000341361	1.83642e-06
88	-0.175407	0.0233328	1.01456e-06
89	-0.183426	0.0433011	5.11539e-07
90	-0.173667	0.0348369	1.03545e-06
94	-0.110675	-0.153139	2.52345e-08
95	-0.0997989	-0.160406	9.10745e-09
96	-0.0898297	-0.165822	3.97988e-08
97	-0.108544	-0.140461	8.65193e-08
98	-0.122695	-0.114276	3.80775e-07
99	-0.1145	-0.122372	2.75166e-07
100	-0.107108	-0.128541	1.86906e-07
101	-0.118465	-0.103353	5.89482e-07
102	-0.116617	-0.0945708	7.94142e-07
103	-0.120051	-0.0855689	1.01068e-06
